"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","MWE_RS_034 - Complete a PM Work Order With Tasks","1","0","","0"
"0","","0","MWE_RS_054 - Complete an EM Work Order with Task Assigned","1","0","","0"
"0","","0","MWE_RS_062- Choose Location Without Asset When Creating Follow-On From Task","1","0","","0"
"0","","0","MWE_RS_011 - Complete an assigned Task","1","0","","0"
"0","","0","MWE_RS_001 - Login and Logout from the Application","1","0","","0"
"0","","0","MWE_RS_032 - Complete a CM Work Order with Task Assigned","1","0","","0"
"0","","0","MWE_RS_026 - Sort By Filter in My Work List","1","0","","0"
"0","","0","MWE_RS_007 - Create Follow On Work Order Found It Fixed It","1","0","","0"
"0","","0","MWE_RS_063 - View Assigned Work Orders and Navigate the App","1","0","","0"
"0","","0","MWE_RS_027- View Application Details","1","0","","0"
"0","","0","MWE_RS_029 - Child Work Order","1","0","","0"
"0","","0","MWE_RS_036 - Complete a CM Work Order","1","0","","0"
"0","","0","MWE_RS_031 - Bookmark Work Order on mobile","1","0","","0"
"0","","0","MWE_RS_022 - Check out Materials and make Reservations","1","0","","0"
"0","","0","MWE_RS_012 - Change Location on Work Order","1","0","","0"
"0","","0","MWE_RS_056 - Attach a Document to assigned Work Order and verify in Files tab","1","0","","0"
"0","","0","MWE_RS_013 - Add Failure Information to the current Work Order","1","0","","0"
"0","","0","MWE_RS_055 - Reset Application","1","0","","0"
"0","","0","MWE_RS_025 - Teams View for active users on Work Order","1","0","","0"
"0","","0","MWE_RS_002 - Start and Pause Work Order","1","0","","0"
"0","","0","MWE_RS_048 - Long description on photos in Files expanded/contracted","1","0","","0"
"0","","0","MWE_RS_003 - Add Comment","1","0","","0"
"0","","0","MWE_RS_006 - Create Follow On Work Order Add To Backlog","1","0","","0"
"0","","0","MWE_RS_017 - Add Manual Time Entry","1","0","","0"
"0","","0","MWE_RS_009 - Create Follow On From Task","1","0","","0"
"0","","0","MWE_RS_033 - Long Description is Displayed on a Task","1","0","","0"
"0","","0","MWE_RS_035 - Hide Task Completed on Work Order","1","0","","0"
"0","","0","MWE_RS_024 - User level Notifications","1","0","","0"
"0","","0","MWE_RS_038 - Route Stop WO Descriptions are displayed alongside Route Stop ID as part of the task grouping heading","1","0","","0"
"0","","0","MWE_RS_023 - Clear Local Data of application","1","0","","0"
"0","","0","MWE_RS_008 - Create Follow On Work Order Assign to me","1","0","","0"
"0","","0","MWE_RS_015 - Return an Assigned Work Order","1","0","","0"
