"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","427386","Complete a PM Work Order With Tasks","MWE_RS_034 - Complete a PM Work Order With Tasks","Wed Sep 16 12:07:29 BST 2026","passed","Wed Sep 16 12:14:36 BST 2026","","","",""
"","463159","Complete an EM Work Order with Task Assigned","MWE_RS_054 - Complete an EM Work Order with Task Assigned","Wed Sep 16 13:23:37 BST 2026","passed","Wed Sep 16 13:31:20 BST 2026","","","",""
"","526092","Choose Location Without Asset When Creating Follow-On From Task","MWE_RS_062- Choose Location Without Asset When Creating Follow-On From Task","Wed Sep 16 16:21:50 BST 2026","passed","Wed Sep 16 16:30:36 BST 2026","","","",""
"","433991","Complete an assigned Task on Work Order","MWE_RS_011 - Complete an assigned Task","Tue Sep 15 18:05:36 BST 2026","passed","Tue Sep 15 18:12:50 BST 2026","","","",""
"","394952","Login and logout from the application","MWE_RS_001 - Login and Logout from the Application","Mon Sep 14 13:57:05 BST 2026","passed","Mon Sep 14 14:03:40 BST 2026","","","",""
"","465067","Complete a CM Work Order with Task Assigned","MWE_RS_032 - Complete a CM Work Order with Task Assigned","Wed Sep 16 13:07:14 BST 2026","passed","Wed Sep 16 13:14:59 BST 2026","","","",""
"","393520","Sort My Work List By Filter","MWE_RS_026 - Sort By Filter in My Work List","Tue Sep 15 12:07:09 BST 2026","passed","Tue Sep 15 12:13:43 BST 2026","","","",""
"","549903","Create Follow On Work Order Found It Fixed It","MWE_RS_007 - Create Follow On Work Order Found It Fixed It","Tue Sep 15 21:59:22 BST 2026","passed","Tue Sep 15 22:08:32 BST 2026","","","",""
"","503290","View Assigned Work Orders and Navigate the App","MWE_RS_063 - View Assigned Work Orders and Navigate the App","Wed Sep 16 18:50:58 BST 2026","passed","Wed Sep 16 18:59:21 BST 2026","","","",""
"","413243","Version, Environment and Licenses","MWE_RS_027- View Application Details","Tue Sep 15 11:21:07 BST 2026","passed","Tue Sep 15 11:28:01 BST 2026","","","",""
"","429645","Child Work Order","MWE_RS_029 - Child Work Order","Wed Sep 16 12:29:30 BST 2026","passed","Wed Sep 16 12:36:40 BST 2026","","","",""
"","450120","Complete a CM Work Order","MWE_RS_036 - Complete a CM Work Order","Wed Sep 16 10:50:17 BST 2026","passed","Wed Sep 16 10:57:48 BST 2026","","","",""
"","396083","Bookmark Work Order on mobile","MWE_RS_031 - Bookmark Work Order on mobile","Tue Sep 15 11:48:43 BST 2026","passed","Tue Sep 15 11:55:19 BST 2026","","","",""
"","446912","Checkout Materials and make Reservations","MWE_RS_022 - Check out Materials and make Reservations","Tue Sep 15 17:43:35 BST 2026","passed","Tue Sep 15 17:51:02 BST 2026","","","",""
"","438866","Change Location on Work Order","MWE_RS_012 - Change Location on Work Order","Tue Sep 15 18:31:01 BST 2026","passed","Tue Sep 15 18:38:19 BST 2026","","","",""
"","460384","Attach a Document to assigned Work Order and verify in Files tab","MWE_RS_056 - Attach a Document to assigned Work Order and verify in Files tab","Wed Sep 16 13:59:20 BST 2026","passed","Wed Sep 16 14:07:00 BST 2026","","","",""
"","498790","Add Failure Information to the current Work Order","MWE_RS_013 - Add Failure Information to the current Work Order","Tue Sep 15 21:03:19 BST 2026","passed","Tue Sep 15 21:11:37 BST 2026","","","",""
"","402482","Reset Application","MWE_RS_055 - Reset Application","Wed Sep 16 15:16:53 BST 2026","passed","Wed Sep 16 15:23:36 BST 2026","","","",""
"","440958","Teams View for Active Users on Work Order","MWE_RS_025 - Teams View for active users on Work Order","Tue Sep 15 23:26:12 BST 2026","passed","Tue Sep 15 23:33:33 BST 2026","","","",""
"","394809","Start and pause a work order","MWE_RS_002 - Start and Pause Work Order","Tue Sep 15 11:07:06 BST 2026","passed","Tue Sep 15 11:13:41 BST 2026","","","",""
"","444375","Long description on photos in Files expanded/contracted","MWE_RS_048 - Long description on photos in Files expanded/contracted","Wed Sep 16 19:41:55 BST 2026","passed","Wed Sep 16 19:49:19 BST 2026","","","",""
"","447783","Add comment to work order","MWE_RS_003 - Add Comment","Tue Sep 15 15:41:28 BST 2026","passed","Tue Sep 15 15:48:56 BST 2026","","","",""
"","522233","Create Follow On Work Order Add To Backlog","MWE_RS_006 - Create Follow On Work Order Add To Backlog","Tue Sep 15 21:22:09 BST 2026","passed","Tue Sep 15 21:30:51 BST 2026","","","",""
"","404440","Add Manual Time Entry","MWE_RS_017 - Add Manual Time Entry","Wed Sep 16 10:31:46 BST 2026","passed","Wed Sep 16 10:38:30 BST 2026","","","",""
"","526180","Create Follow On From Task","MWE_RS_009 - Create Follow On From Task","Tue Sep 15 22:52:21 BST 2026","passed","Tue Sep 15 23:01:07 BST 2026","","","",""
"","412352","Long Description is Displayed on a Task","MWE_RS_033 - Long Description is Displayed on a Task","Wed Sep 16 14:27:53 BST 2026","passed","Wed Sep 16 14:34:45 BST 2026","","","",""
"","451923","Hide Task Completed on Work Order","MWE_RS_035 - Hide Task Completed on Work Order","Wed Sep 16 14:47:34 BST 2026","passed","Wed Sep 16 14:55:06 BST 2026","","","",""
"","413413","User level Notifications","MWE_RS_024 - User level Notifications","Tue Sep 15 23:34:26 BST 2026","passed","Tue Sep 15 23:41:19 BST 2026","","","",""
"","495130","Route Stop WO Descriptions are displayed alongside Route Stop ID as part of the task grouping heading","MWE_RS_038 - Route Stop WO Descriptions are displayed alongside Route Stop ID as part of the task grouping heading","Wed Sep 16 14:57:15 BST 2026","passed","Wed Sep 16 15:05:30 BST 2026","","","",""
"","416886","Clear Local Data of application","MWE_RS_023 - Clear Local Data of application","Tue Sep 15 12:50:48 BST 2026","passed","Tue Sep 15 12:57:45 BST 2026","","","",""
"","532900","Create Follow On Work Order Assign to me","MWE_RS_008 - Create Follow On Work Order Assign to me","Tue Sep 15 22:30:42 BST 2026","passed","Tue Sep 15 22:39:35 BST 2026","","","",""
